delta,metric,mean,ci95_low,ci95_high
DPRM-confidence_minus_DCM-random,token_recovery,0.11880272715876941,0.11401950603687927,0.12377286714727356
DPRM-confidence_minus_DCM-random,mae,-0.15775511482469864,-0.17846810502912402,-0.13848553399329708
DPRM-confidence_minus_DCM-random,zero_accuracy,0.21487450457270235,0.21181460726535767,0.21800990646177387
DPRM-random_minus_DCM-random,token_recovery,0.11959163554699348,0.11469211808307281,0.12460072665974345
DPRM-random_minus_DCM-random,mae,-0.16733702689205826,-0.18771735949301932,-0.14729632833724648
DPRM-random_minus_DCM-random,zero_accuracy,0.21510784867070235,0.21204318563507887,0.21814547719834404
Progressive-DCM_minus_DCM-random,token_recovery,0.11869265899418158,0.11391890582472798,0.12346143072197666
Progressive-DCM_minus_DCM-random,mae,-0.16639777776426015,-0.18558038769753923,-0.1463440148751077
Progressive-DCM_minus_DCM-random,zero_accuracy,0.21377226135633098,0.2108452779212299,0.21682369682060573
