model,metric,point,ci_low,ci_high,stderr,n,method
DPLM-2 Bit,ca_rmsd,66.72657624587977,63.23903627364327,70.12309782652191,1.7815304971085162,250,bootstrap_samples_pooled_lengths
DPLM-2 Bit,bb_tmscore,0.4062740314425704,0.39503829045706335,0.41781211215280006,0.005823294945173037,250,bootstrap_samples_pooled_lengths
DPLM-2 Bit,mean_plddt,67.49166157531738,65.54824497451781,69.5913875957489,1.0300819427760768,250,bootstrap_samples_pooled_lengths
DPLM-2 Bit,designable,0.236,0.184,0.292,0.027061364438051714,250,bootstrap_samples_pooled_lengths
Progressive DPLM-2 Bit,ca_rmsd,91.63617748933004,86.4538503227124,96.6030768573491,2.5718785000033773,250,bootstrap_samples_pooled_lengths
Progressive DPLM-2 Bit,bb_tmscore,0.46209314496904796,0.44454197952069124,0.48014063792345063,0.009094248297392476,250,bootstrap_samples_pooled_lengths
Progressive DPLM-2 Bit,mean_plddt,76.50543294525147,75.34161839714051,77.73900810146333,0.6162956270732373,250,bootstrap_samples_pooled_lengths
Progressive DPLM-2 Bit,designable,0.404,0.344,0.464,0.031115416668765567,250,bootstrap_samples_pooled_lengths
DPRM-DPLM-2 Bit,ca_rmsd,75.69996963010202,71.54781198969727,79.82484175939446,2.123826971269417,250,bootstrap_samples_pooled_lengths
DPRM-DPLM-2 Bit,bb_tmscore,0.46048878560674084,0.4445097112356032,0.4772373821745363,0.008419796450275843,250,bootstrap_samples_pooled_lengths
DPRM-DPLM-2 Bit,mean_plddt,68.77448263549805,66.91157715072632,70.58592011375427,0.9416491470930289,250,bootstrap_samples_pooled_lengths
DPRM-DPLM-2 Bit,designable,0.4,0.34,0.46009999999999857,0.03112581854274665,250,bootstrap_samples_pooled_lengths
DPRM(random)-DPLM-2 Bit,ca_rmsd,80.23010808963555,75.8654758052684,84.56586120146245,2.2497159248947334,250,bootstrap_samples_pooled_lengths
DPRM(random)-DPLM-2 Bit,bb_tmscore,0.4526637556595963,0.4353840579687602,0.47063911511409673,0.009021564562038183,250,bootstrap_samples_pooled_lengths
DPRM(random)-DPLM-2 Bit,mean_plddt,74.09460942840576,72.81858903884887,75.38817961311341,0.662719818035873,250,bootstrap_samples_pooled_lengths
DPRM(random)-DPLM-2 Bit,designable,0.396,0.336,0.45609999999999856,0.03100953244117757,250,bootstrap_samples_pooled_lengths
