method,metric,mean,ci95_low,ci95_high,higher_is_better
DCM-random,token_recovery,0.6396515190906492,0.6336056792244009,0.6454002677033888,True
DCM-random,mae,0.8212107301978935,0.8049780639034693,0.8381968016167244,False
DCM-random,zero_accuracy,0.7839224786583474,0.7809459278379081,0.7869678388937748,True
Progressive-DCM,token_recovery,0.7583441780848308,0.7482743017419969,0.7679382901626033,True
Progressive-DCM,mae,0.6548129524336334,0.6222741354097939,0.6889462578965434,False
Progressive-DCM,zero_accuracy,0.9976947400146784,0.997587901344936,0.9978005670227187,True
DPRM-random,token_recovery,0.7592431546376427,0.7487256291007731,0.7687270746836534,True
DPRM-random,mae,0.6538737033058352,0.6213844767288518,0.6878087060723086,False
DPRM-random,zero_accuracy,0.9990303273290497,0.9989699785009586,0.999085854281236,True
DPRM-confidence,token_recovery,0.7584542462494186,0.748279548367746,0.7680479229214909,True
DPRM-confidence,mae,0.6634556153731949,0.6302911028672811,0.6972823766184139,False
DPRM-confidence,zero_accuracy,0.9987969832310497,0.9987646611909614,0.9988281947265001,True
